Id,Obs,Mdl
531,3,0
532,1,0
533,1,1
534,1,0
535,1,0
536,1,1
537,1,1
538,1,0
539,2,2
540,1,1
541,1,1
542,1,1
543,1,1
544,1,1
545,1,1
546,1,1
547,1,0
548,1,1
549,1,1
550,1,0
551,1,1
552,1,1
553,1,1
554,1,1
555,1,0
556,1,0
557,1,1
558,1,0
559,2,0
560,2,1
561,1,0
562,1,1
563,1,1
564,1,1
565,1,0
566,1,1
567,1,0
568,1,0
569,1,1
570,1,0
571,1,1
572,2,2
573,2,1
574,1,1
575,2,1
576,1,1
577,1,0
578,2,1
579,1,1
580,1,1
581,1,0
582,1,1
583,1,0
584,1,0
585,1,0
586,1,1
587,1,1
588,1,1
589,3,3
590,1,1
591,3,3
592,6,5
593,6,6
594,1,0
595,1,1
596,2,0
597,1,1
598,1,0
599,2,2
600,3,2
601,1,0
602,1,0
603,1,0
604,1,0
605,1,0
606,1,0
607,1,1
608,2,1
609,2,1
610,1,0
611,1,1
612,1,0
613,1,0
614,1,0
615,1,0
616,2,2
617,2,1
618,1,0
619,4,2
620,1,0
621,4,4
622,2,2
623,4,2
624,3,2
625,1,0
626,2,2
627,8,7
628,1,1
629,1,0
630,1,1
631,18,18
632,1,1
633,1,0
634,2,1
635,1,1
636,1,1
637,1,0
638,1,0
639,1,1
640,1,1
641,1,1
642,1,1
643,1,1
644,1,1
645,4,3
646,3,4
647,1,1
648,2,1
649,1,0
650,1,1
651,3,3
652,1,1
653,1,1
654,2,2
655,1,1
656,1,0
657,1,1
658,1,0
659,1,1
660,1,1
661,1,0
662,1,0
663,1,1
664,1,0
665,1,0
666,1,0
667,1,1
668,1,1
669,1,1
670,1,1
671,1,1
672,1,1
673,1,0
674,1,1
675,1,1
676,1,1
677,1,1
678,5,4
679,1,0
680,1,1
681,1,1
682,1,0
683,1,1
684,4,4
685,1,1
686,1,1
687,1,1
688,1,0
689,1,0
690,1,1
691,1,1
692,1,0
693,1,0
694,1,0
695,1,0
696,1,1
697,1,1
698,1,0
699,5,5
700,1,1
701,1,1
702,1,0
703,1,0
704,1,1
705,2,2
706,1,1
707,1,1
708,3,2
709,7,5
710,1,1
711,1,0
712,1,1
713,1,1
714,1,0
715,1,1
716,1,1
717,6,6
718,2,2
719,1,0
720,1,0
721,3,2
722,1,1
723,1,0
724,1,1
725,1,1
726,2,0
727,1,1
728,1,0
729,1,1
730,1,0
731,1,1
732,2,1
733,1,1
734,1,1
735,1,0
736,3,2
737,1,2
738,1,0
739,1,0
740,1,1
741,3,3
742,3,3
743,2,2
744,1,1
745,1,0
746,2,2
747,1,0
748,1,1
749,1,0
750,1,1
751,1,1
752,1,1
753,1,1
754,3,2
755,1,1
756,1,1
757,1,1
758,1,1
759,1,1
760,2,2
761,4,4
762,1,1
763,1,1
764,1,1
765,1,1
766,1,0
767,1,1
768,1,1
769,1,1
770,1,1
771,1,0
772,1,1
773,1,1
774,1,1
775,1,1
776,1,1
777,1,0
778,1,1
779,1,1
780,1,0
781,1,1
782,1,0
783,1,1
784,1,1
785,1,1
786,1,0
787,1,0
788,1,1
789,1,1
790,1,1
791,1,1
792,1,0
793,1,1
794,1,0
795,1,0
796,1,1
797,1,1
798,1,1
799,1,1
800,1,1
801,1,0
802,1,1
803,2,2
804,2,2
805,1,0
806,1,0
807,1,0
808,2,0
809,1,1
810,1,1
811,1,1
812,1,1
813,2,2
814,1,1
815,1,1
816,1,0
817,1,0
818,1,0
819,3,1
820,2,2
821,1,0
822,1,1
823,4,3
824,1,0
825,12,10
826,14,14
827,1,1
828,1,1
829,1,2
830,1,0
831,1,1
832,2,2
833,4,3
834,3,1
835,1,0
836,8,6
837,2,0
838,3,2
839,3,2
840,1,1
841,1,1
842,1,0
843,2,2
844,1,0
845,1,0
846,1,0
847,2,0
848,1,0
849,1,0
850,1,1
851,1,0
852,2,1
853,1,0
854,1,1
855,2,1
856,2,1
857,1,0
858,2,2
859,1,1
860,1,0
861,2,2
862,1,1
863,2,1
864,1,1
865,1,1
866,1,1
867,1,0
868,1,1
869,3,1
870,4,4
871,1,0
872,1,1
873,1,0
874,2,1
875,1,0
876,1,1
877,1,1
878,1,0
879,1,1
880,3,3
881,1,1
882,1,0
883,2,1
884,1,1
885,1,0
886,1,1
887,2,2
888,2,0
889,2,1
890,1,0
891,1,0
892,4,2
893,1,0
894,1,0
895,1,0
896,1,0
897,1,1
898,1,0
899,1,0
900,1,0
901,1,1
902,1,1
903,1,1
904,2,2
905,5,4
906,1,1
907,1,0
908,1,1
909,1,0
910,1,1
911,1,1
912,1,0
913,1,1
914,1,1
915,1,1
916,1,1
917,1,1
918,1,1
919,1,1
920,1,1
921,1,1
922,1,1
923,1,0
924,1,1
925,1,1
926,5,4
927,2,0
928,1,1
929,1,1
930,1,1
931,1,1
932,1,1
933,1,0
934,1,1
935,1,0
936,1,1
937,1,1
938,1,1
939,1,1
940,1,1
941,1,1
942,1,1
943,1,1
944,1,1
945,1,0
946,1,0
947,1,1
948,1,0
949,1,1
950,1,0
951,1,0
952,1,1
953,1,1
954,1,0
955,1,1
956,1,1
957,1,0
958,1,1
959,1,0
960,1,1
961,1,0
962,1,1
963,1,1
964,11,9
965,1,0
966,1,0
967,1,1
968,1,1
969,1,1
970,2,0
971,6,5
972,1,1
973,2,0
974,1,3
975,3,0
976,2,0
977,1,1
978,1,1
979,1,0
980,18,1
981,23,7
982,1,1
983,1,0
984,2,0
985,2,2
986,1,1
987,1,1
988,10,9
989,1,0
990,1,0
991,2,2
992,2,1
993,1,0
994,1,0
995,3,1
996,1,1
997,1,0
998,1,1
999,1,1
1000,1,0
1001,1,1
1002,1,1
1003,1,0
1004,1,1
1005,1,1
1006,1,1
1007,1,1
1008,1,0
1009,1,1
1010,1,1
1011,1,0
1012,1,1
1013,1,1
1014,1,0
1015,1,0
1016,1,0
1017,1,0
1018,1,1
1019,2,1
1020,3,3
1021,2,2
1022,1,0
1023,1,1
1024,1,1
1025,1,0
1026,1,1
1027,1,0
1028,2,2
1029,1,0
1030,1,0
1031,1,0
1032,1,1
1033,1,1
1034,7,6
1035,1,0
1036,1,1
1037,1,0
1038,1,1
1039,1,1
1040,1,1
1041,1,0
1042,1,0
1043,2,2
1044,1,1
1045,1,1
1046,1,1
1047,1,0
1048,1,1
1049,1,1
1050,3,2
1051,1,1
1052,1,1
1053,1,0
1054,4,3
1055,1,0
1056,1,1
1057,1,1
1058,1,1
1059,1,0
1060,1,0
1061,1,0
1062,1,1
1063,3,2
1064,1,1
1065,1,1
1066,2,2
1067,1,1
1068,1,0
1069,2,1
1070,1,0
1071,1,1
1072,1,0
1073,1,0
1074,1,1
1075,2,2
1076,1,1
1077,4,1
1078,1,0
1079,1,0
1080,1,0
1081,2,1
1082,1,1
1083,1,0
1084,2,0
1085,2,0
1086,1,1
1087,1,1
1088,1,0
1089,1,1
1090,2,0
1091,1,1
1092,5,5
1093,2,2
1094,1,0
1095,3,3
1096,7,6
1097,1,0
1098,1,0
1099,1,0
1100,1,2
1101,1,0
1102,1,0
1103,1,0
1104,1,1
1105,1,0
1106,1,0
1107,1,0
1108,1,2
1109,1,1
1110,1,0
1111,1,1
1112,1,1
1113,1,0
1114,2,1
1115,1,1
1116,1,1
1117,1,0
1118,1,0
1119,3,2
1120,1,1
1121,2,1
1122,2,1
1123,1,1
1124,1,0
1125,1,1
1126,1,1
1127,1,1
1128,1,1
1129,1,1
1130,1,0
1131,1,1
1132,1,1
1133,1,0
1134,2,1
1135,1,1
1136,1,1
1137,1,0
1138,1,1
1139,4,4
1140,1,0
1141,1,0
1142,5,5
1143,1,0
1144,1,0
1145,1,0
1146,2,0
1147,1,0
1148,1,0
1149,1,0
1150,2,2
1151,1,1
1152,1,0
1153,1,1
1154,2,2
1155,1,0
1156,1,1
1157,1,1
1158,1,0
1159,1,0
1160,1,1
1161,1,1
1162,1,1
1163,1,1
1164,1,1
1165,1,1
1166,1,1
1167,1,1
1168,4,1
1169,2,1
1170,2,2
1171,1,0
1172,3,3
1173,1,1
1174,1,0
1175,5,4
1176,2,0
1177,5,0
1178,2,0
1179,1,0
1180,1,1
1181,2,2
1182,1,1
1183,1,0
1184,1,0
1185,1,0
1186,1,0
1187,1,0
1188,1,1
1189,1,1
1190,1,1
1191,1,1
1192,1,0
1193,1,1
1194,1,1
1195,1,1
1196,3,3
1197,1,0
1198,1,0
1199,1,0
1200,1,1
1201,2,2
1202,1,0
1203,1,1
1204,1,1
1205,1,1
1206,1,1
1207,1,1
1208,1,1
1209,1,1
1210,1,0
1211,1,1
1212,1,0
1213,1,1
1214,2,1
1215,1,1
1216,2,2
1217,1,1
1218,1,1
1219,1,1
1220,1,1
1221,1,1
1222,1,1
1223,1,1
1224,1,1
1225,1,1
1226,1,0
1227,1,0
1228,1,0
1229,1,0
1230,1,1
1231,1,1
1232,2,2
1233,1,1
1234,1,1
1235,1,1
1236,1,0
1237,1,0
1238,3,2
1239,1,1
1240,1,1
1241,1,1
1242,6,5
1243,1,1
1244,5,0
1245,1,1
1246,1,1
1247,1,0
1248,2,0
1249,2,0
1250,1,0
1251,1,0
1252,1,1
1253,1,1
1254,8,6
1255,1,1
1256,1,0
1257,1,1
1258,1,1
1259,8,8
1260,1,1
1261,1,0
1262,3,0
1263,15,8
1264,18,12
1265,6,0
1266,3,0
1267,3,0
1268,1,0
1269,1,1
1270,1,0
1271,4,5
1272,1,1
1273,1,0
1274,2,2
1275,1,0
1276,5,5
1277,1,1
1278,1,1
1279,1,0
1280,1,0
1281,1,0
1282,1,1
1283,1,1
1284,1,1
1285,1,1
1286,1,0
1287,1,0
1288,1,0
1289,1,0
1290,1,1
1291,1,0
1292,4,0
1293,1,0
1294,2,1
1295,1,0
1296,2,1
1297,4,3
1298,2,2
1299,4,0
1300,1,1
1301,3,1
1302,2,0
1303,11,15
1304,2,0
1305,2,2
1306,1,1
1307,2,0
1308,2,2
1309,2,0
1310,3,0
1311,1,1
1312,3,3
1313,2,0
1314,3,2
1315,1,1
1316,1,0
1317,1,1
1318,3,1
1319,1,0
1320,1,0
1321,5,5
1322,1,1
1323,1,0
1324,1,1
1325,1,1
1326,1,1
1327,1,1
1328,5,5
1329,1,1
1330,1,1
1331,1,1
1332,4,0
1333,1,0
1334,1,0
1335,5,4
1336,1,1
1337,1,0
1338,2,3
1339,1,0
1340,1,1
1341,1,1
1342,1,1
1343,3,3
1344,2,0
1345,1,1
1346,2,0
1347,1,1
1348,1,1
1349,1,1
1350,1,1
1351,1,1
1352,2,0
1353,1,1
1354,1,1
1355,1,1
1356,1,0
1357,1,1
1358,1,1
1359,1,1
1360,1,1
1361,4,3
1362,1,0
1363,1,0
1364,1,1
1365,2,2
1366,1,1
1367,1,0
1368,1,1
1369,1,1
1370,1,1
1371,1,1
1372,2,1
1373,2,2
1374,1,1
1375,1,1
1376,2,2
1377,2,1
1378,1,1
1379,1,1
1380,1,1
1381,1,1
1382,1,1
1383,1,0
1384,1,0
1385,1,0
1386,1,1
1387,1,1
1388,2,0
1389,1,1
1390,1,1
1391,2,0
1392,3,3
1393,37,35
1394,4,3
1395,1,1
1396,1,1
1397,1,0
1398,2,2
1399,8,2
1400,2,3
1401,5,3
1402,1,0
1403,1,1
1404,1,1
1405,1,1
1406,1,1
1407,1,1
1408,2,2
1409,1,0
1410,3,3
1411,1,1
1412,1,1
1413,2,2
1414,1,1
1415,3,3
1416,1,1
1417,2,2
1418,1,1
1419,1,1
1420,1,0
1421,2,1
1422,1,1
1423,1,0
1424,1,1
1425,1,1
1426,1,1
1427,1,1
1428,1,1
1429,1,0
1430,1,0
1431,1,1
1432,1,1
1433,1,1
1434,1,1
1435,1,1
1436,1,1
1437,1,1
1438,1,1
1439,1,1
1440,2,2
1441,1,1
1442,1,1
1443,1,1
1444,1,0
1445,1,0
1446,1,1
1447,1,1
1448,1,1
1449,1,1
1450,1,1
1451,1,0
1452,1,1
1453,1,0
1454,1,1
1455,1,1
1456,1,1
1457,1,1
1458,1,1
1459,1,1
1460,1,1
1461,1,1
1462,1,1
1463,2,2
1464,1,1
1465,1,0
1466,1,1
1467,1,1
1468,1,1
1469,1,1
1470,1,1
1471,1,1
1472,1,1
1473,15,17
1474,2,0
1475,7,7
1476,7,4
1477,3,6
1478,10,7
1479,3,0
1480,1,0
1481,12,6
1482,1,0
1483,5,5
1484,4,4
1485,2,2
1486,1,1
1487,1,0
1488,2,1
1489,1,1
1490,1,0
1491,2,0
1492,8,2
1493,2,0
1494,5,10
1495,9,4
1496,1,1
1497,4,0
1498,1,1
1499,5,2
1500,2,0
1501,2,1
1502,1,0
1503,7,7
1504,1,1
1505,2,2
1506,1,0
1507,3,2
1508,1,2
1509,1,2
1510,1,0
1511,1,1
1512,1,1
1513,1,1
1514,1,1
1515,1,1
1516,1,1
1517,1,0
1518,3,4
1519,1,0
1520,1,1
1521,1,0
1522,1,1
1523,2,2
1524,1,1
1525,1,0
1526,1,1
1527,1,0
1528,1,0
1529,1,1
1530,1,1
1531,2,2
1532,1,0
1533,1,0
1534,2,2
1535,1,1
1536,1,1
1537,1,1
1538,1,0
1539,1,1
1540,1,1
1541,2,1
1542,1,1
1543,2,2
1544,1,1
1545,1,1
1546,1,0
1547,1,1
1548,1,1
1549,2,1
1550,2,1
1551,1,1
1552,1,1
1553,1,1
1554,1,1
1555,2,2
1556,1,0
1557,1,0
1558,1,0
1559,1,0
1560,1,0
1561,1,1
1562,1,0
1563,2,2
1564,1,1
1565,1,1
1566,1,1
1567,1,1
1568,1,1
1569,1,1
1570,1,0
1571,1,1
1572,4,4
1573,1,2
1574,3,2
1575,1,0
1576,1,1
1577,1,1
1578,1,1
1579,1,1
1580,1,0
1581,1,1
1582,1,0
1583,1,1
1584,1,0
1585,1,1
1586,1,1
1587,1,0
1588,1,1
1589,1,1
1590,1,1
1591,1,1
1592,1,1
1593,1,1
1594,1,1
1595,1,1
1596,3,3
1597,1,1
1598,1,1
1599,1,1
1600,1,1
1601,1,1
1602,1,0
1603,1,1
1604,3,2
1605,1,1
1606,1,1
1607,1,1
1608,5,3
1609,1,1
1610,1,0
1611,2,2
1612,1,1
1613,1,1
1614,1,0
1615,2,0
1616,1,0
1617,5,4
1618,1,0
1619,1,0
1620,1,0
1621,2,1
1622,1,0
1623,2,1
1624,1,1
1625,2,1
1626,1,0
1627,8,8
1628,21,19
1629,1,0
1630,2,1
1631,1,1
1632,1,1
1633,1,1
1634,3,3
1635,1,0
1636,3,3
1637,4,4
1638,1,0
1639,1,0
1640,2,0
1641,2,1
1642,2,4
1643,1,0
1644,1,0
1645,5,4
1646,2,2
1647,1,1
1648,1,0
1649,1,0
1650,3,1
1651,2,1
1652,2,0
1653,3,3
1654,1,0
1655,2,1
1656,1,0
1657,3,2
1658,2,2
1659,1,0
1660,1,1
1661,1,0
1662,1,1
1663,1,1
1664,1,1
1665,6,4
1666,1,0
1667,1,1
1668,2,2
1669,1,0
1670,1,1
1671,1,0
1672,1,0
1673,1,1
1674,1,0
1675,1,0
1676,1,0
1677,2,0
1678,1,1
1679,1,1
1680,1,1
1681,1,1
1682,1,1
1683,1,0
1684,1,1
1685,1,1
1686,1,1
1687,10,5
1688,1,1
1689,1,1
1690,1,1
1691,1,0
1692,1,1
1693,1,1
1694,1,1
1695,1,1
1696,1,1
1697,1,0
1698,1,1
1699,1,1
1700,1,1
1701,1,0
1702,1,0
1703,3,3
1704,1,1
1705,1,1
1706,1,1
1707,1,0
1708,1,1
1709,1,1
1710,2,1
1711,2,2
1712,1,1
1713,1,1
1714,1,0
1715,1,1
1716,1,0
1717,1,1
1718,1,0
1719,1,0
1720,1,0
1721,1,1
1722,1,1
1723,1,1
1724,2,2
1725,1,1
1726,1,1
1727,6,6
1728,1,1
1729,11,11
1730,2,0
1731,1,1
1732,1,1
1733,1,1
1734,2,0
1735,1,1
1736,4,0
1737,1,0
1738,4,2
1739,1,1
1740,4,1
1741,5,0
1742,3,2
1743,1,1
1744,3,0
1745,1,1
1746,1,1
1747,2,2
1748,3,0
1749,4,1
1750,1,1
1751,1,1
1752,1,1
1753,1,1
1754,1,1
1755,6,7
1756,7,7
1757,17,16
1758,3,2
1759,1,1
1760,1,1
1761,2,1
1762,1,0
1763,2,2
1764,1,1
1765,1,0
1766,1,1
1767,2,2
1768,1,1
1769,1,1
1770,1,1
1771,1,1
1772,1,1
1773,5,5
1774,1,0
1775,1,1
1776,1,1
1777,1,1
1778,1,1
1779,1,1
1780,1,1
1781,1,0
1782,1,1
1783,1,0
1784,2,2
1785,1,1
1786,1,0
1787,2,1
1788,2,1
1789,1,1
1790,1,1
1791,2,0
1792,1,1
1793,1,1
1794,1,0
1795,1,0
1796,1,0
1797,1,1
1798,1,1
1799,1,1
1800,1,0
1801,1,0
1802,1,1
1803,1,0
1804,1,1
1805,1,0
1806,1,0
1807,1,0
1808,1,1
1809,1,0
1810,1,1
1811,1,1
1812,1,0
1813,1,0
1814,1,1
1815,2,1
1816,1,1
1817,1,1
1818,1,1
1819,1,1
1820,2,2
1821,1,1
1822,1,1
1823,1,1
1824,1,0
1825,2,2
1826,1,0
1827,1,1
1828,1,1
1829,1,1
1830,1,1
1831,3,0
1832,2,0
1833,1,0
1834,1,1
1835,1,1
1836,11,10
1837,1,0
1838,1,0
1839,5,1
1840,14,20
1841,7,0
1842,14,0
1843,5,0
1844,2,2
1845,5,4
1846,1,0
1847,1,0
1848,1,1
